MCC,MNC,Brand,Operator,Status,Bands (MHz),References and notes,Country,Iso
289,67,Aquafon,Aquafon JSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,MCC is not listed by ITU; LTE band 20,Abkhazia,ge
289,88,A-Mobile,A-Mobile LLSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,MCC is not listed by ITU,Abkhazia,ge
276,01,ONE,One Telecommunications,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,Former Telekom Albania,Albania,al
276,02,Vodafone,Vodafone Albania,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,,Albania,al
276,03,ALBtelecom,Albtelecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,Former Eagle Mobile,Albania,al
276,04,Plus Communication,Plus Communication,Not operational,GSM 900 / GSM 1800 / UMTS 2100, Shut down Jan 2018; MNC withdrawn,Albania,al
213,03,"Som, Mobiland",Andorra Telecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / 5G,LTE band 20; former Servei de Telecommunicacions d'Andorra,Andorra,ad
283,01,Beeline,Veon Armenia CJSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 450 / LTE 1800,,Armenia,am
283,04,Karabakh Telecom,Karabakh Telecom,Operational,GSM 900 / UMTS 900,,Armenia,am
283,05,VivaCell-MTS,K Telecom CJSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 2600,,Armenia,am
283,10,Ucom,Ucom LLC,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Former Orange,Armenia,am
232,01,A1.net,A1 Telekom Austria,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,former A1 / Mobilkom / PTA ,Austria,at
232,02,,A1 Telekom Austria,Reserved,,,Austria,at
232,03,Magenta,T-Mobile Austria GmbH,Operational,GSM 900 / UMTS 900 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 700 / 5G 2100 / 5G 3500,"former Max.Mobil, T-Mobile; national roaming agreement with 232-10: uses Hutchison Drei UMTS where no own coverage",Austria,at
232,04,Magenta,T-Mobile Austria GmbH,Unknown,Unknown,former T-Mobile,Austria,at
232,05,3,Hutchison Drei Austria,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600,owned by Hutchison Drei Austria / former Orange Austria / One / Connect; GSM 900 / LTE 900 rarely used,Austria,at
232,06,Orange AT,Orange Austria GmbH,Not operational,Unknown,MNC withdrawn,Austria,at
232,07,Magenta-T,T-Mobile Austria,Operational,MVNO,former tele.ring,Austria,at
232,08,Lycamobile,Lycamobile Austria,Operational,MVNO,,Austria,at
232,09,Tele2Mobil,A1 Telekom Austria,Operational,MVNO,"division bought from Tele2 by A1 Telekom Austria; customers ""moved"" to bob (232-11)",Austria,at
232,10,3,Hutchison Drei Austria,Operational,UMTS 2100 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,national roaming agreement with 232-03: uses T-Mobile GSM where no own coverage,Austria,at
232,11,bob,A1 Telekom Austria,Operational,MVNO,brand of A1 Telekom Austria,Austria,at
232,12,yesss!,A1 Telekom Austria,Operational,MVNO,owned by A1 Telekom Austria / one-way national roaming agreement with 232-05,Austria,at
232,13,Magenta,T-Mobile Austria GmbH,Operational,MVNO,Former UPC Austria,Austria,at
232,14,,Hutchison Drei Austria,Reserved,Unknown,,Austria,at
232,15,Vectone Mobile,Mundio Mobile Austria,Operational,MVNO,"former Barablu Mobile Austria, uses A1",Austria,at
232,16,,Hutchison Drei Austria,Reserved,Unknown,,Austria,at
232,17,,MASS Response Service GmbH,Unknown,Unknown,,Austria,at
232,18,,smartspace GmbH,Unknown,MVNO,,Austria,at
232,19,,Hutchison Drei Austria,Unknown,Unknown,Former Tele2 Telecommunication GmbH,Austria,at
232,20,m:tel,MTEL Austrija GmbH,Operational,MVNO,,Austria,at
232,21,,"Salzburg AG für Energie, Verkehr und Telekommunikation",Unknown,Unknown,,Austria,at
232,22,,Plintron Austria Limited,Unknown,MVNO,,Austria,at
232,23,Magenta,T-Mobile Austria GmbH,Not operational,Unknown,former T-Mobile; MNC withdrawn,Austria,at
232,24,,Smartel Services GmbH,Not operational,Unknown,MNC withdrawn,Austria,at
232,25,,Holding Graz Kommunale Dienstleistungen GmbH,Unknown,Unknown,,Austria,at
232,26,,LIWEST Kabelmedien GmbH,Unknown,Unknown,,Austria,at
232,27,,TISMI B.V.,Unknown,Unknown,,Austria,at
232,91,GSM-R A,ÖBB,Operational,GSM-R,railways communication,Austria,at
232,92,ArgoNET,ArgoNET GmbH,Operational,CDMA450 / LTE450,machine to machine communication for critical infrastructure ,Austria,at
257,01,A1,A1 Belarus,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,Former velcom; LTE via beCloud,Belarus,by
257,02,MTS,Mobile TeleSystems,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,LTE via beCloud,Belarus,by
257,03,DIALLOG,BelCel,Not operational,CDMA 450,Closed on 21 January 2014,Belarus,by
257,04,life:),Belarusian Telecommunications Network,Operational,GSM 900 / GSM 1800 / UMTS 2100,Former BeST; LTE via beCloud,Belarus,by
257,05,byfly,Beltelecom,Not operational,WiMAX 3500, Closed on 1 May 2017,Belarus,by
257,06,beCloud,Belorussian Cloud Technologies,Operational,LTE 800 / LTE 1800 / LTE 2600,"Former Yota Bel; wholesale network used by MTS, life:), and A1",Belarus,by
206,00,Proximus,Belgacom Mobile,Not operational,Unknown, MNC withdrawn,Belgium,be
206,01,Proximus,Belgacom Mobile,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 2100 / 5G 3500,,Belgium,be
206,02,,Infrabel,Operational,GSM-R,,Belgium,be
